SOUID,    DATE,   TG, Q_TG
107054,19620423,  108,    0
107054,19620424,  122,    0
107054,19620425,  124,    0
107054,19620426,  132,    0
107054,19620427,   96,    0
107054,19620428,   89,    0
107054,19620429,   87,    0
107054,19620430,   72,    0
107054,19620501,   78,    0
107054,19620502,   76,    0
107054,19620503,  115,    0
107054,19620504,  127,    0
107054,19620505,  110,    0
107054,19620506,  134,    0
107054,19620507,  149,    0
107054,19620508,  146,    0
107054,19620509,  136,    0
107054,19620510,  116,    0
107054,19620511,  122,    0
107054,19620512,   98,    0
107054,19620513,   90,    0
107054,19620514,  100,    0
107054,19620515,  130,    0
107054,19620516,  126,    0
107054,19620517,  106,    0
107054,19620518,  110,    0
107054,19620519,  107,    0
107054,19620520,  102,    0
107054,19620521,  123,    0
107054,19620522,  123,    0
107054,19620523,  112,    0
107054,19620524,  114,    0
107054,19620525,   93,    0
107054,19620526,   76,    0
107054,19620527,  100,    0
107054,19620528,  104,    0
107054,19620529,   93,    0
107054,19620530,  100,    0
107054,19620531,  102,    0
107054,19620601,   76,    0
107054,19620602,   92,    0
107054,19620603,  102,    0
107054,19620604,  105,    0
107054,19620605,  128,    0
107054,19620606,  136,    0
107054,19620607,  152,    0
107054,19620608,  157,    0
107054,19620609,  172,    0
107054,19620610,  150,    0
107054,19620611,  128,    0
107054,19620612,  146,    0
107054,19620613,  161,    0
107054,19620614,  168,    0
107054,19620615,  176,    0
107054,19620616,  176,    0
107054,19620617,  192,    0
107054,19620618,  188,    0
107054,19620619,  164,    0
107054,19620620,  158,    0
107054,19620621,  180,    0
107054,19620622,  189,    0
107054,19620623,  158,    0
107054,19620624,  167,    0
107054,19620625,  148,    0
107054,19620626,  149,    0
107054,19620627,  132,    0
107054,19620628,  146,    0
107054,19620629,  145,    0
107054,19620630,  141,    0
107054,19620701,  166,    0
107054,19620702,  174,    0
107054,19620703,  148,    0
107054,19620704,  120,    0
107054,19620705,  130,    0
107054,19620706,  150,    0
107054,19620707,  148,    0
107054,19620708,  169,    0
107054,19620709,  193,    0
107054,19620710,  166,    0
107054,19620711,  168,    0
107054,19620712,  172,    0
107054,19620713,  171,    0
107054,19620714,  180,    0
107054,19620715,  146,    0
107054,19620716,  155,    0
107054,19620717,  154,    0
107054,19620718,  175,    0
107054,19620719,  172,    0
107054,19620720,  185,    0
107054,19620721,  176,    0
107054,19620722,  168,    0
107054,19620723,  166,    0
107054,19620724,  178,    0
107054,19620725,  174,    0
107054,19620726,  136,    0
